iter	Passed	Remaining
412	1632	2320
413	1635	2314
414	1637	2308
415	1640	2303
416	1643	2297
417	1646	2291
418	1649	2287
419	1651	2280
420	1654	2275
421	1657	2269
422	1660	2264
423	1662	2258
424	1665	2253
425	1668	2248
426	1671	2242
427	1673	2235
428	1675	2230
429	1678	2225
430	1680	2219
431	1683	2213
432	1686	2208
433	1688	2202
434	1691	2196
435	1693	2191
436	1696	2185
437	1699	2179
438	1701	2174
439	1703	2167
440	1706	2162
441	1708	2156
442	1711	2151
443	1713	2145
444	1716	2140
445	1719	2135
446	1721	2129
447	1723	2124
448	1726	2118
449	1729	2113
450	1730	2107
451	1732	2100
452	1735	2095
453	1738	2091
454	1741	2085
455	1743	2080
456	1746	2075
457	1748	2069
458	1751	2064
459	1753	2058
460	1756	2053
461	1759	2048
462	1761	2043
463	1763	2037
464	1766	2032
465	1769	2027
466	1771	2021
467	1775	2017
468	1777	2012
469	1780	2007
470	1782	2002
471	1785	1997
472	1787	1991
473	1788	1984
474	1789	1978
475	1791	1972
476	1794	1967
477	1796	1962
478	1799	1956
479	1801	1951
480	1804	1946
481	1806	1940
482	1807	1935
483	1809	1929
484	1812	1924
485	1814	1918
486	1816	1913
487	1817	1907
488	1819	1901
489	1821	1896
490	1824	1891
491	1826	1886
492	1830	1882
493	1832	1876
494	1834	1871
495	1837	1866
496	1839	1861
497	1843	1858
498	1845	1853
499	1849	1849
500	1851	1844
501	1854	1839
502	1857	1834
503	1859	1829
504	1862	1825
505	1864	1820
506	1867	1816
507	1870	1811
508	1873	1806
509	1876	1803
510	1879	1798
511	1882	1794
512	1885	1789
513	1887	1784
514	1889	1779
515	1891	1774
516	1894	1769
517	1896	1764
518	1899	1760
519	1901	1755
520	1903	1750
521	1906	1745
522	1908	1740
523	1910	1735
524	1912	1730
525	1914	1725
526	1917	1721
527	1919	1715
528	1921	1710
529	1924	1706
530	1926	1701
531	1929	1697
532	1933	1693
533	1935	1688
534	1937	1684
535	1940	1679
536	1942	1674
537	1944	1669
538	1947	1665
539	1949	1660
540	1952	1656
541	1955	1652
542	1957	1647
543	1960	1643
544	1963	1638
545	1965	1634
546	1967	1629
547	1969	1624
548	1971	1619
549	1974	1615
550	1977	1611
551	1979	1606
552	1982	1602
553	1985	1598
554	1987	1593
555	1990	1589
556	1993	1585
557	1995	1580
558	1998	1576
559	2001	1572
560	2003	1567
561	2006	1563
562	2009	1559
563	2011	1554
564	2014	1550
565	2016	1546
566	2019	1542
567	2021	1537
568	2025	1534
569	2027	1529
570	2030	1525
571	2032	1520
572	2034	1516
573	2036	1511
574	2039	1507
575	2041	1503
576	2044	1498
577	2046	1494
578	2049	1490
579	2051	1485
580	2054	1481
581	2056	1477
582	2059	1473
583	2061	1468
584	2064	1464
585	2066	1460
586	2069	1456
587	2071	1451
588	2074	1447
589	2077	1443
590	2079	1438
591	2081	1434
592	2083	1429
593	2085	1425
594	2087	1420
595	2090	1416
596	2092	1412
597	2094	1408
598	2097	1403
599	2100	1400
600	2102	1395
601	2105	1391
602	2107	1387
603	2109	1383
604	2112	1379
605	2114	1374
606	2117	1371
607	2119	1366
608	2122	1362
609	2124	1358
610	2127	1354
611	2130	1350
612	2132	1346
613	2134	1342
614	2138	1338
615	2140	1334
616	2143	1330
617	2145	1325
618	2147	1321
619	2150	1317
620	2152	1313
621	2154	1309
622	2156	1304
623	2158	1300
624	2160	1296
625	2162	1291
626	2163	1287
627	2165	1282
628	2167	1278
629	2169	1274
630	2170	1269
631	2172	1264
632	2174	1260
633	2176	1256
634	2179	1252
635	2181	1248
636	2184	1244
637	2186	1240
638	2189	1237
639	2192	1233
640	2194	1228
641	2195	1224
642	2198	1220
643	2200	1216
644	2202	1212
645	2205	1208
646	2208	1204
647	2211	1201
648	2213	1197
649	2216	1193
650	2219	1189
651	2221	1185
652	2223	1181
653	2227	1178
654	2229	1174
655	2231	1170
656	2234	1166
657	2238	1163
658	2241	1159
659	2244	1156
660	2246	1152
661	2249	1148
662	2251	1144
663	2254	1140
664	2256	1136
665	2259	1133
666	2261	1129
667	2264	1125
668	2266	1121
669	2269	1117
670	2271	1113
671	2274	1110
672	2277	1106
673	2279	1102
674	2283	1099
675	2285	1095
676	2288	1092
677	2291	1088
678	2293	1084
679	2294	1079
680	2297	1076
681	2299	1072
682	2302	1068
683	2304	1064
684	2306	1060
685	2309	1056
686	2311	1053
687	2314	1049
688	2316	1045
689	2318	1041
690	2319	1037
691	2322	1033
692	2324	1029
693	2327	1026
694	2329	1022
695	2332	1018
696	2335	1015
697	2337	1011
698	2339	1007
699	2342	1003
700	2344	1000
701	2346	996
702	2348	992
703	2351	988
704	2353	984
705	2355	980
706	2357	977
707	2359	973
708	2362	969
709	2364	965
710	2366	962
711	2369	958
712	2371	954
713	2374	951
714	2375	946
715	2378	943
716	2381	939
717	2383	936
718	2385	932
719	2387	928
720	2390	924
721	2392	921
722	2394	917
723	2396	913
724	2399	910
725	2401	906
726	2404	902
727	2407	899
728	2409	895
729	2411	892
730	2414	888
731	2416	884
732	2419	881
733	2421	877
734	2424	874
735	2427	870
736	2429	867
737	2432	863
738	2434	859
739	2436	856
740	2439	852
741	2441	848
742	2445	845
743	2447	842
744	2450	838
745	2452	835
746	2455	831
747	2458	828
748	2460	824
749	2462	820
750	2465	817
751	2466	813
752	2468	809
753	2470	806
754	2473	802
755	2476	799
756	2478	795
757	2481	792
758	2483	788
759	2485	784
760	2488	781
761	2490	777
762	2493	774
763	2495	770
764	2497	767
765	2500	763
766	2502	760
767	2504	756
768	2507	753
769	2509	749
770	2513	746
771	2515	742
772	2518	739
773	2520	735
774	2522	732
775	2525	728
776	2527	725
777	2529	721
778	2532	718
779	2535	715
780	2538	711
781	2540	708
782	2542	704
783	2545	701
784	2548	697
785	2551	694
786	2554	691
787	2557	688
788	2559	684
789	2562	681
790	2565	677
791	2567	674
792	2570	671
793	2572	667
794	2575	664
795	2578	660
796	2580	657
797	2584	654
798	2586	650
799	2589	647
800	2591	643
801	2594	640
802	2596	637
803	2599	633
804	2601	630
805	2604	626
806	2607	623
807	2610	620
808	2613	617
809	2616	613
810	2619	610
811	2621	607
812	2624	603
813	2626	600
814	2629	596
815	2631	593
816	2634	590
817	2637	586
818	2640	583
819	2642	580
820	2645	576
821	2647	573
822	2650	569
823	2652	566
824	2654	563
825	2658	559
826	2660	556
827	2663	553
828	2666	549
829	2668	546
830	2670	543
831	2673	539
832	2676	536
833	2678	533
834	2681	529
835	2683	526
836	2685	522
837	2688	519
838	2690	516
839	2692	512
840	2695	509
841	2698	506
842	2700	502
843	2702	499
844	2705	496
845	2708	492
846	2710	489
847	2712	486
848	2715	482
849	2717	479
850	2720	476
851	2721	472
852	2724	469
853	2726	466
854	2729	462
855	2732	459
856	2735	456
857	2737	453
858	2741	449
859	2743	446
860	2746	443
861	2748	440
862	2751	436
863	2753	433
864	2756	430
865	2758	426
866	2760	423
867	2763	420
868	2766	417
869	2768	413
870	2771	410
871	2773	407
872	2776	403
873	2778	400
874	2780	397
875	2783	394
876	2785	390
877	2788	387
878	2791	384
879	2793	380
880	2796	377
881	2798	374
882	2802	371
883	2804	367
884	2806	364
885	2809	361
886	2811	358
887	2814	354
888	2816	351
889	2818	348
890	2822	345
891	2824	341
892	2826	338
893	2828	335
894	2831	332
895	2833	328
896	2836	325
897	2839	322
898	2842	319
899	2844	316
900	2847	312
901	2849	309
902	2852	306
903	2855	303
904	2857	299
905	2860	296
906	2862	293
907	2865	290
908	2868	287
909	2870	283
910	2873	280
911	2875	277
912	2878	274
913	2880	271
914	2883	267
915	2885	264
916	2888	261
917	2890	258
918	2892	254
919	2895	251
920	2898	248
921	2900	245
922	2903	242
923	2905	238
924	2907	235
925	2910	232
926	2913	229
927	2915	226
928	2917	222
929	2919	219
930	2922	216
931	2924	213
932	2927	210
933	2930	207
934	2932	203
935	2935	200
936	2937	197
937	2940	194
938	2943	191
939	2945	188
940	2948	184
941	2950	181
942	2953	178
943	2955	175
944	2958	172
945	2960	168
946	2962	165
947	2965	162
948	2968	159
949	2971	156
950	2974	153
951	2977	150
952	2980	146
953	2982	143
954	2985	140
955	2988	137
956	2991	134
957	2993	131
958	2996	128
959	2998	124
960	3001	121
961	3004	118
962	3007	115
963	3009	112
964	3011	109
965	3013	106
966	3016	102
967	3018	99
968	3021	96
969	3025	93
970	3028	90
971	3030	87
972	3033	84
973	3035	81
974	3038	77
975	3040	74
976	3043	71
977	3046	68
978	3048	65
979	3050	62
980	3052	59
981	3055	55
982	3057	52
983	3060	49
984	3063	46
985	3065	43
986	3068	40
987	3071	37
988	3074	34
989	3076	31
990	3078	27
991	3079	24
992	3081	21
993	3084	18
994	3086	15
995	3088	12
996	3091	9
997	3093	6
998	3096	3
999	3099	0
